model      	 strategy    	 subset      	 k 	 agent_acc	 step_acc
gpt-oss-20b	 all-at-once 	 hand-crafted	  1	     34.48	    24.14
gpt-oss-20b	 all-at-once 	 hand-crafted	  3	     34.48	    24.14
gpt-oss-20b	 all-at-once 	 hand-crafted	  5	     34.48	    24.14
gpt-oss-20b	 all-at-once 	 hand-crafted	 10	     34.48	    24.14
gpt-oss-20b	 step-by-step	 hand-crafted	  1	     31.03	    18.97
gpt-oss-20b	 step-by-step	 hand-crafted	  3	     51.72	    41.38
gpt-oss-20b	 step-by-step	 hand-crafted	  5	     58.62	    48.28
gpt-oss-20b	 step-by-step	 hand-crafted	 10	     58.62	    51.72
gpt-oss-20b	 agent-grad  	 hand-crafted	  1	      6.9 	     3.45
gpt-oss-20b	 agent-grad  	 hand-crafted	  3	     22.41	    15.52
gpt-oss-20b	 agent-grad  	 hand-crafted	  5	     37.93	    27.59
gpt-oss-20b	 agent-grad  	 hand-crafted	 10	     46.55	    44.83
gpt-oss-20b	 text-grad   	 hand-crafted	  1	     12.07	     3.45
gpt-oss-20b	 text-grad   	 hand-crafted	  3	     39.66	    20.69
gpt-oss-20b	 text-grad   	 hand-crafted	  5	     58.62	    44.83
gpt-oss-20b	 text-grad   	 hand-crafted	 10	     62.07	    53.45
